,body,length
0,"When a person dies, their property passes to their personal representative. This is usually a close family member. The personal representative then distributes the deceased’s person’s assets (money, possessions and property) in accordance with the law, the will - if there is one - or the laws of intestacy if there is no will. These assets are described as the deceased person’s estate . You may need access to some of the deceased person's money to pay for funeral expenses. Many banks have arrangements in place to help pay for funeral expenses from the deceased person’s account (you should contact the bank to find out more). You may also need to get access for living expenses, at least until a social welfare payment is awarded. There is a range of payments provided by the Department of Social Protection (DSP) that are available to help families during this difficult time.",882
1,"If money is held in the deceased person’s name only, then family members usually cannot get access until probate is granted to the personal representative. But if the amount in an account is small, the bank may release it to the personal representative or the next of kin. Bank accounts in joint names If the bank account is in the joint names of your loved one and their spouse or civil partner, the money can usually be transferred into the surviving spouse or civil partner’s name. You will need the death certificate to do this. If the bank account is in the joint names of the deceased person and someone else, and the bank was given instructions when the account was opened that the other person was to receive the money on the death of the deceased, the money can be transferred into the survivor’s name. If there is an account with more than €50,000, you will also need a letter of clearance from Revenue allowing the money to be transferred to the surviving account holder, pending investigations about Capital Acquisitions Tax (CAT). CAT is a form of inheritance tax. Spouses and civil partners are not liable for CAT on inheritances from each other. If you think the deceased person may have had a dormant bank account , you should contact the financial institution at which the account was held. If that financial institution no longer exists and you want to find out where to make your enquiry or claim, you should contact the Banking and Payments Federation Ireland (BPFI).",1487
2,"For post office accounts, you should contact An Post. State savings and prize bonds If the deceased person held prize bonds and no other State Savings products, then you should send a letter notifying of the holder's death and the documents listed below to: State Savings, Prize Bonds, Fexco Centre, Killorglin, FREEPOST, Co. Kerry, V93 WN9T. If they had other state savings, you should notify An Post .",403
3,"If the deceased person had a credit union account and completed a valid nomination form when opening the account, the money in the account, up to a maximum of €23,000, goes to the nominated person or persons. Any remaining balance forms part of the deceased’s estate and is distributed in accordance with the person’s will or the law on succession .",349
4,"If an insurance policy names you as the beneficiary, then you may claim it directly from the insurance company. You need a death certificate. If there is no named beneficiary, then the proceeds form part of the overall estate of the deceased and are distributed with the other assets. Find out about different types of insurance here .",335
5,"The rules governing occupational pensions and personal pensions depend on the terms of the pension. If your loved one was a member of a pension scheme, you should contact the scheme administrators to find out if there is a pension for the spouse, civil partner and/or children. Self-employed people may have pension arrangements that involve some of the investments becoming part of the estate when the person dies. Divorced people and people whose civil partnership has been dissolved may have access to some part of the pension scheme depending on whether a pension adjustment order was made at the time of the divorce or dissolution.",636
6,,0
7,,0
8,,0
9,"When a person close to you dies, it can feel overwhelming. You may find it difficult to focus on practical things like accessing money and applying for financial help. For many people, the loss of a loved one can lead to a decrease in the amount of money that is available to support you and your family. Help is available . This page has information on some of financial issues you might have to deal with following a bereavement. If the deceased person was your spouse or partner, you may need to access their money as soon as possible.",538
10,"If the deceased person was getting a social welfare payment or you were claiming for them as a dependant, or you were getting a Carer's Allowance to look after them, you should notify the Department of Social Protection (DSP) that they have died. You do this by sending a death certificate (if you have one) or a death notice from a newspaper to the section of the DSP that was paying them . There are also payments provided by the Department of Social Protection that are available to assist families with funeral costs. You may also be entitled to a death related benefit (for example, a Widow’s, Widower’s or Surviving Civil Partner’s Pension). Tax There are rules about income tax in the year of a person's death. For example, a tax refund may be due. You may also be able to claim extra tax credits in the years following the death of a spouse or civil partner.",866
11,"You may be concerned that your loved one left behind debts that have to be repaid. Personal loans, credit cards and overdrafts You are only responsible for those debts that you yourself have signed for. If you are having difficulty making repayments on a loan in your own name or in joint names, you should let the company know what has happened and ask for time to work out what you can afford, given your changed circumstances. Repayments on a loan in the sole name of your loved one should be paid out of the estate. If you are asked to take over payments on a loan that is in the sole name of your loved one, you do not have to do this. Get advice if you are not sure what to do. MABS provide free, confidential and independent advice on a range of financial matters. You can contact MABS on 0818 07 2000, 9am to 8pm, Monday to Friday. Credit cards, bank overdrafts and personal loans are known as ‘unsecured debts’. With unsecured debt, the creditor (the institution that is owed) does not have the right to take a particular item of property if the debtor does not pay. These debts are repaid from the estate. You only have to repay debts yourself if they were taken out in joint names. If there is not enough money in the estate to repay unsecured debts that were taken out solely by the person who has died, and the debts are not covered by an insurance policy, the creditor cannot ask anyone else to repay the debt. Mortgages If you have a mortgage that was taken out with your loved one, you should check if repayments are covered by mortgage protection insurance . If it is not covered, then you have to continue repaying the mortgage. If you have difficulty in paying, you should talk to your mortgage provider. You can also get advice from MABS.",1758
12,"When a person dies, their property, known as their estate, passes to their personal representative. The personal representative then has the duty to distribute the deceased person’s money and property in accordance with the will (if there is a will) or the laws of succession if there is no will. If your deceased spouse or civil partner made a will, you have an automatic right to a share in the estate which is called a ‘ legal right share ’. If you are separated your inheritance rights may have been renounced or extinguished. If you are divorced from the person who died, or your civil partnership was dissolved, you no longer automatically inherit from the estate. Cohabiting couples in Ireland have no automatic right of inheritance on the death of either partner, but you can apply to the courts for provision to be made for you from the estate.",853
